x,y
55106.408,57.16
55106.442,66.51
55106.478,72.74
55106.516,81.45
55106.541,85.14
55106.576,92.91
55106.611,98.16
55106.643,100.72
55106.677,103.4
55106.712,111.05
55106.745,114.76
55106.777,121.05
55106.81,123.48
55106.841,125.34
55106.874,127.4
55106.913,129.58
55106.941,134.2
55106.976,135.68
55107.009,136.46
55107.042,137.49
55107.075,138.38
55107.116,139.55
55107.142,140.79
55107.176,142.13
55107.207,143.68
55107.245,144.94
55107.277,146.26
55107.309,147.41
55107.342,149.02
55107.378,150.45
55107.409,151.72
55107.445,152.63
55107.475,153.28
55107.51,153.88
55107.544,154.34
55107.575,154.72
55107.61,155.08
55107.644,155.33
55107.677,157.56
55107.71,157.83
55107.742,156.31
55107.779,156.43
55107.811,156.42
55107.842,156.23
55107.874,155.11
55107.909,152.78
55107.946,149.01
55107.974,145.0
55108.011,140.16
55108.044,135.04
55108.082,130.38
55108.108,126.33
55108.142,118.15
55108.174,113.53
55108.208,109.2
55108.245,104.27
55108.276,101.99
55108.309,99.39
55108.342,95.57
55108.376,87.66
55108.408,82.64
55108.442,76.54
55108.476,73.18
55108.511,71.16
55108.541,62.73
55108.575,57.15
55108.61,53.05
55108.646,49.31
55108.673,46.53
55108.712,43.57
55108.74,39.51
55108.775,36.56
55108.809,33.62
55108.843,30.84
55108.875,28.91
55108.91,27.33
55108.942,25.92
55108.975,24.29
55109.009,22.92
55109.041,21.55
55109.076,18.97
55109.111,17.06
55109.145,15.08
55109.176,13.8
55109.208,12.94
55109.242,12.37
55109.276,11.97
55109.308,11.67
55109.342,11.37
55109.373,11.0
55109.406,10.69
55109.442,10.44
55109.474,10.24
55109.509,10.09
55109.542,9.97
55109.575,9.89
55109.608,9.83
55109.643,9.79
55109.676,9.78
55109.709,9.87
55109.742,10.44
55109.777,12.09
55109.81,15.28
55109.841,18.67
55109.875,21.78
55109.907,26.11
55109.942,30.26
55109.979,35.5
55110.009,42.14
55110.042,47.91
55110.077,53.84
55110.109,61.59
55110.145,69.68
55110.181,75.73
55110.208,84.09
55110.243,91.33
55110.275,95.93
55110.312,101.72
55110.345,104.08
55110.373,107.93
55110.407,115.55
55110.44,122.32
55110.474,124.5
55110.509,125.82
55110.543,126.68
55110.577,131.65
55110.608,134.73
55110.64,137.7
55110.678,140.39
55110.711,143.01
55110.746,144.85
55110.775,147.41
55110.809,148.63
55110.843,149.96
55110.877,151.16
55110.908,152.36
55110.946,155.67
55110.976,154.7
55111.008,155.57
55111.051,156.3
55111.073,158.18
55111.108,157.11
55111.142,157.27
55111.177,157.38
55111.212,157.43
55111.245,157.45
55111.274,157.44
55111.307,157.28
55111.343,156.86
55111.374,155.67
55111.409,153.31
55111.443,150.66
55111.476,147.99
55111.507,145.0
55111.543,142.66
55111.576,139.37
55111.609,136.78
55111.642,134.77
55111.676,131.87
55111.708,127.35
55111.741,121.72
55111.776,118.14
55111.81,115.44
55111.843,111.55
55111.877,107.57
55111.909,103.67
55111.942,98.59
55111.975,90.61
55112.009,89.43
55112.047,88.16
55112.076,85.8
55112.109,81.37
55112.146,77.74
55112.176,74.21
55112.213,70.68
55112.245,65.98
55112.276,59.7
55112.308,55.02
55112.344,51.5
55112.375,47.74
55112.411,44.69
55112.44,40.19
55112.475,37.12
55112.507,33.63
55112.54,30.67
55112.58,28.13
55112.607,26.13
55112.641,24.92
55112.676,23.8
55112.707,22.17
55112.74,20.3
55112.777,17.71
55112.809,15.72
55112.843,14.11
55112.875,12.86
55112.916,11.8
55112.944,10.84
55112.975,10.15
55113.01,9.6
55113.041,9.19
55113.075,8.89
55113.109,8.66
55113.142,8.48
55113.176,8.35
55113.209,8.25
55113.24,8.17
55113.275,8.12
55113.31,8.11
55113.343,8.24
55113.374,9.64
55113.41,11.71
55113.443,14.34
55113.474,18.37
55113.508,22.17
55113.54,25.21
55113.578,28.93
55113.609,33.67
55113.643,38.63
55113.675,44.79
55113.711,50.33
55113.742,55.19
55113.773,62.92
55113.808,71.96
55113.845,77.11
55113.877,83.96
55113.911,89.77
55113.943,97.79
55113.975,100.95
55114.011,104.44
55114.043,112.25
55114.075,116.8
55114.11,123.37
55114.142,125.03
55114.175,126.35
55114.21,128.25
55114.242,131.27
55114.28,133.86
55114.307,136.12
55114.344,138.05
55114.375,139.73
55114.408,141.02
55114.443,142.15
55114.474,143.43
55114.509,144.78
55114.54,145.84
55114.575,147.62
55114.609,148.65
55114.64,149.88
55114.675,151.27
55114.71,152.24
55114.742,152.65
55114.777,153.49
55114.809,153.96
55114.845,154.19
55114.877,154.32
55114.908,154.38
55114.942,154.41
55114.978,154.42
55115.012,154.4
55115.043,154.25
55115.075,153.8
55115.109,152.08
55115.142,148.28
55115.178,144.16
55115.209,139.81
55115.241,139.53
55115.277,135.98
55115.308,133.41
55115.346,129.26
55115.378,124.02
55115.407,117.89
55115.441,113.57
55115.473,108.93
55115.515,104.07
55115.543,100.44
55115.578,96.95
55115.608,93.32
55115.641,89.95
55115.676,88.51
55115.71,84.21
55115.742,80.01
55115.778,75.76
55115.81,70.24
55115.844,63.43
55115.877,57.12
55115.91,52.09
55115.945,47.87
55115.98,44.7
55116.008,40.84
55116.043,37.57
55116.076,33.77
55116.111,31.76
55116.143,30.01
55116.182,28.59
55116.208,27.18
55116.241,25.86
55116.275,24.32
55116.311,22.99
55116.347,21.71
55116.377,20.56
55116.408,18.74
55116.443,17.26
55116.476,16.05
55116.506,15.14
55116.544,14.41
55116.576,13.81
55116.608,13.32
55116.646,12.89
55116.674,12.54
55116.708,12.25
55116.74,12.0
55116.781,11.78
55116.809,11.59
55116.841,11.42
55116.874,11.28
55116.908,11.21
55116.942,11.44
55116.974,13.45
55117.01,16.75
55117.043,20.6
55117.075,24.83
55117.109,29.63
55117.142,34.78
55117.175,40.23
55117.209,47.15
55117.241,52.45
55117.277,58.77
55117.307,67.7
55117.345,76.57
55117.379,81.26
